day_since_start,Report Date,S,I_raw,S_raw,I_cumulative
0,2020-02-25,83166695,16.0,-16.0,16
1,2020-02-26,83166690,5.0,-5.0,21
2,2020-02-27,83166685,5.0,-5.0,26
3,2020-02-28,83166658,27.0,-27.0,53
4,2020-02-29,83166645,13.0,-13.0,66
5,2020-03-01,83166594,51.0,-51.0,117
6,2020-03-02,83166561,33.0,-33.0,150
7,2020-03-03,83166523,38.0,-38.0,188
8,2020-03-04,83166471,52.0,-52.0,240
9,2020-03-05,83166362,109.0,-109.0,349
10,2020-03-06,83166177,185.0,-185.0,534
11,2020-03-07,83166027,150.0,-150.0,684
12,2020-03-08,83165864,163.0,-163.0,847
13,2020-03-09,83165599,265.0,-265.0,1112
14,2020-03-10,83165415,184.0,-184.0,1296
15,2020-03-11,83165144,271.0,-271.0,1567
16,2020-03-12,83164342,802.0,-802.0,2369
17,2020-03-13,83163649,693.0,-693.0,3062
18,2020-03-14,83162916,733.0,-733.0,3795
19,2020-03-15,83161873,1043.0,-1043.0,4838
20,2020-03-16,83160699,1174.0,-1174.0,6012
21,2020-03-17,83159555,1144.0,-1144.0,7156
22,2020-03-18,83158513,1042.0,-1042.0,8198
23,2020-03-19,83155712,2801.0,-2801.0,10999
24,2020-03-20,83152754,2958.0,-2958.0,13957
25,2020-03-21,83150049,2705.0,-2705.0,16662
26,2020-03-22,83148101,1948.0,-1948.0,18610
27,2020-03-23,83144039,4062.0,-4062.0,22672
28,2020-03-24,83139275,4764.0,-4764.0,27436
29,2020-03-25,83135157,4118.0,-4118.0,31554
30,2020-03-26,83130203,4954.0,-4954.0,36508
31,2020-03-27,83124423,5780.0,-5780.0,42288
32,2020-03-28,83118129,6294.0,-6294.0,48582
33,2020-03-29,83114164,3965.0,-3965.0,52547
34,2020-03-30,83109413,4751.0,-4751.0,57298
35,2020-03-31,83104798,4615.0,-4615.0,61913
36,2020-04-01,83099345,5453.0,-5453.0,67366
37,2020-04-02,83093189,6156.0,-6156.0,73522
38,2020-04-03,83087015,6174.0,-6174.0,79696
39,2020-04-04,83080933,6082.0,-6082.0,85778
40,2020-04-05,83074997,5936.0,-5936.0,91714
41,2020-04-06,83071320,3677.0,-3677.0,95391
42,2020-04-07,83067486,3834.0,-3834.0,99225
43,2020-04-08,83063483,4003.0,-4003.0,103228
44,2020-04-09,83058509,4974.0,-4974.0,108202
45,2020-04-10,83053186,5323.0,-5323.0,113525
46,2020-04-11,83049053,4133.0,-4133.0,117658
47,2020-04-12,83046232,2821.0,-2821.0,120479
48,2020-04-13,83043695,2537.0,-2537.0,123016
49,2020-04-14,83041613,2082.0,-2082.0,125098
50,2020-04-15,83039127,2486.0,-2486.0,127584
51,2020-04-16,83036261,2866.0,-2866.0,130450
52,2020-04-17,83032881,3380.0,-3380.0,133830
53,2020-04-18,83029272,3609.0,-3609.0,137439
54,2020-04-19,83026814,2458.0,-2458.0,139897
55,2020-04-20,83025039,1775.0,-1775.0,141672
56,2020-04-21,83023254,1785.0,-1785.0,143457
57,2020-04-22,83021017,2237.0,-2237.0,145694
58,2020-04-23,83018665,2352.0,-2352.0,148046
59,2020-04-24,83016328,2337.0,-2337.0,150383
60,2020-04-25,83014273,2055.0,-2055.0,152438
61,2020-04-26,83012536,1737.0,-1737.0,154175
62,2020-04-27,83011518,1018.0,-1018.0,155193
63,2020-04-28,83010374,1144.0,-1144.0,156337
64,2020-04-29,83009070,1304.0,-1304.0,157641
65,2020-04-30,83007592,1478.0,-1478.0,159119
66,2020-05-01,83005953,1639.0,-1639.0,160758
67,2020-05-02,83005008,945.0,-945.0,161703
68,2020-05-03,83004215,793.0,-793.0,162496
69,2020-05-04,83003536,679.0,-679.0,163175
70,2020-05-05,83002851,685.0,-685.0,163860
71,2020-05-06,83001904,947.0,-947.0,164807
72,2020-05-07,83000620,1284.0,-1284.0,166091
73,2020-05-08,82999411,1209.0,-1209.0,167300
74,2020-05-09,82998160,1251.0,-1251.0,168551
75,2020-05-10,82997493,667.0,-667.0,169218
76,2020-05-11,82997136,357.0,-357.0,169575
77,2020-05-12,82996203,933.0,-933.0,170508
78,2020-05-13,82995405,798.0,-798.0,171306
79,2020-05-14,82994472,933.0,-933.0,172239
80,2020-05-15,82993559,913.0,-913.0,173152
81,2020-05-16,82992939,620.0,-620.0,173772
82,2020-05-17,82992356,583.0,-583.0,174355
83,2020-05-18,82992014,342.0,-342.0,174697
84,2020-05-19,82991501,513.0,-513.0,175210
85,2020-05-20,82990704,797.0,-797.0,176007
86,2020-05-21,82989959,745.0,-745.0,176752
87,2020-05-22,82989499,460.0,-460.0,177212
88,2020-05-23,82988861,638.0,-638.0,177850
89,2020-05-24,82988430,431.0,-431.0,178281
90,2020-05-25,82988141,289.0,-289.0,178570
91,2020-05-26,82987709,432.0,-432.0,179002
92,2020-05-27,82987347,362.0,-362.0,179364
93,2020-05-28,82986994,353.0,-353.0,179717
94,2020-05-29,82986253,741.0,-741.0,180458
95,2020-05-30,82985515,738.0,-738.0,181196
96,2020-05-31,82985229,286.0,-286.0,181482
97,2020-06-01,82984896,333.0,-333.0,181815
98,2020-06-02,82984683,213.0,-213.0,182028
99,2020-06-03,82984341,342.0,-342.0,182370
100,2020-06-04,82983947,394.0,-394.0,182764
101,2020-06-05,82983440,507.0,-507.0,183271
