date,t,confirmed,deaths,recovered,Population,s_si,i_si,s_sir,i_sir,r_sir,recovered_reliable
2020-01-22,0,557,17,30.0,7744776836.0,0.9999999280805617,7.19194383253111e-08,0.9999999280805617,6.585083221886654e-08,6.068606106444563e-09,True
2020-01-23,1,657,18,32.0,7744776836.0,0.9999999151686337,8.483136621136335e-08,0.9999999151686337,7.837540226833722e-08,6.4559639430261305e-09,True
2020-01-24,2,944,26,39.0,7744776836.0,0.9999998781114008,1.2188859924433334e-07,0.9999998781114007,1.1349584611839937e-07,8.39275312593397e-09,True
2020-01-25,3,1437,42,42.0,7744776836.0,0.9999998144555963,1.85544403722571e-07,0.9999998144555963,1.7469838429828708e-07,1.08460194242839e-08,True
2020-01-26,4,2120,56,56.0,7744776836.0,0.9999997262671289,2.7373287118430795e-07,0.9999997262671289,2.592715119519294e-07,1.4461359232378532e-08,True
2020-01-27,5,2929,82,65.0,7744776836.0,0.9999996218096322,3.7819036778247075e-07,0.9999996218096322,3.592098337899739e-07,1.8980533992496823e-08,True
2020-01-28,6,5580,131,108.0,7744776836.0,0.9999992795144239,7.204855760417162e-07,0.999999279514424,6.896260683940513e-07,3.08595076476649e-08,True
2020-01-29,7,6169,133,127.0,7744776836.0,0.9999992034631687,7.96536831290564e-07,0.9999992034631687,7.629658187868281e-07,3.357101250373588e-08,True
2020-01-30,8,8237,172,145.0,7744776836.0,0.9999989364445,1.0635554999741248e-06,0.9999989364445,1.022624688575339e-06,4.0930811398785666e-08,True
2020-01-31,9,9927,214,225.0,7744776836.0,0.9999987182329187,1.281767081248408e-06,0.9999987182329187,1.2250837178286386e-06,5.6683363419769424e-08,True
2020-02-01,10,12038,260,287.0,7744776836.0,0.999998445662121,1.5543378789229712e-06,0.999998445662121,1.4837096333862654e-06,7.062824553670587e-08,True
2020-02-02,11,16787,364,476.0,7744776836.0,0.9999978324746658,2.167525334231593e-06,0.9999978324746658,2.059065139988754e-06,1.08460194242839e-07,True
2020-02-03,12,19887,428,627.0,7744776836.0,0.9999974322049013,2.567795098699213e-06,0.9999974322049013,2.431574259501362e-06,1.3622083919785134e-07,True
2020-02-04,13,23899,494,857.0,7744776836.0,0.9999969141783546,3.08582164548763e-06,0.9999969141783545,2.9113814997470637e-06,1.7444014574056606e-07,True
2020-02-05,14,27644,566,1130.0,7744776836.0,0.9999964306266552,3.569373344820287e-06,0.9999964306266551,3.3503870478728406e-06,2.1898629694744636e-07,True
2020-02-06,15,30806,636,1493.0,7744776836.0,0.9999960223514954,3.977648504577259e-06,0.9999960223514954,3.702753559883207e-06,2.7489494469405264e-07,True
2020-02-07,16,34400,721,2016.0,7744776836.0,0.9999955582968072,4.4417031928019775e-06,0.9999955582968072,4.088303726560728e-06,3.533994662412504e-07,True
2020-02-08,17,37131,808,2617.0,7744776836.0,0.9999952056720566,4.794327943370065e-06,0.9999952056720566,4.352094413272775e-06,4.4223353009728994e-07,True
2020-02-09,18,40162,908,3247.0,7744776836.0,0.9999948143115224,5.185688477596309e-06,0.9999948143115224,4.649197873930838e-06,5.364906036654714e-07,True
2020-02-10,19,42771,1015,3949.0,7744776836.0,0.9999944774393239,5.522560676143412e-06,0.9999944774393239,4.881612575879779e-06,6.409481002636342e-07,True
2020-02-11,20,44814,1115,4684.0,7744776836.0,0.9999942136486372,5.786351362855461e-06,0.9999942136486372,5.0375886647432894e-06,7.487626981121706e-07,True
